Common Name,Country,Category,Taxonomic Group,Taxonomic Subgroup,Scientific Name,Year Last Documented,NY Listing Status,Federal Listing Status,State Conservation Rank,Global Conservation Rank,Distribution Status,Image Url
Adderfish,Europe,Fish,Actinopterygii,Cypriniformes,Leuciscus cephalus,2021,Not Listed,Not Listed,S3,G5,Widespread,https://www.thesprucepets.com/thmb/M22UH3-0kR74sgHT91kkUn4wKco=/3100x0/filters:no_upscale():strip_icc()/GettyImages-1413740339-5aea18fdc25b41039fa8dc91d687f527.jpg
Adélie Penguin,Antarctica,Bird,Aves,Sphenisciformes,Pygoscelis adeliae,2021,Not Listed,Near Threatened,S2,G4,Breeding colonies in Antarctica,https://live.staticflickr.com/65535/51980751292_38b3d98b76_b.jpg
Admiral Butterfly,Worldwide,Insect,Insecta,Lepidoptera,Limenitis arthemis,2021,Not Listed,Not Listed,S4,G5,Widespread,https://kellogggarden.com/wp-content/uploads/2016/04/Ladybug.jpg
Aesculapian Snake,Europe,Reptile,Reptilia,Squamata,Zamenis longissimus,2021,Not Listed,Not Listed,S3,G5,Widespread,https://www.eurokidsindia.com/blog/wp-content/uploads/2023/10/fascinating-reptile-facts.jpg
Affenpinscher,Worldwide,Mammal,Mammalia,Carnivora,Affenpinscher,2021,Not Listed,Not Listed,S4,G5,Domestic,https://www.noaa.gov/sites/default/files/styles/landscape_width_1275/public/legacy/image/2019/Jun/PHOTO%20-%20seal%20rehabbed%20-%2004262016%20-%20marine%20mammals%20of%20maine%20-%20LANDSCAPE.jpg
Afghan Hound,Afghanistan,Mammal,Mammalia,Carnivora,Canis lupus familiaris,2021,Not Listed,Not Listed,S3,G5,Domestic,https://www.noaa.gov/sites/default/files/styles/landscape_width_1275/public/legacy/image/2019/Jun/PHOTO%20-%20seal%20rehabbed%20-%2004262016%20-%20marine%20mammals%20of%20maine%20-%20LANDSCAPE.jpg
African Buffalo,Africa,Mammal,Mammalia,Artiodactyla,Syncerus caffer,2021,Not Listed,Near Threatened,S3,G4,Widespread,https://www.noaa.gov/sites/default/files/styles/landscape_width_1275/public/legacy/image/2019/Jun/PHOTO%20-%20seal%20rehabbed%20-%2004262016%20-%20marine%20mammals%20of%20maine%20-%20LANDSCAPE.jpg
African Bullfrog,Africa,Amphibian,Amphibia,Anura,Pyxicephalus adspersus,2021,Not Listed,Not Listed,S4,G5,Widespread,https://cdn.mos.cms.futurecdn.net/39CUYMP8vJqHAYGVzUghBX-1200-80.jpg
African Bush Elephant,Africa,Mammal,Mammalia,Proboscidea,Loxodonta africana,2021,Not Listed,Vulnerable,S3,G4,Widespread,https://www.noaa.gov/sites/default/files/styles/landscape_width_1275/public/legacy/image/2019/Jun/PHOTO%20-%20seal%20rehabbed%20-%2004262016%20-%20marine%20mammals%20of%20maine%20-%20LANDSCAPE.jpg
African Civet,Africa,Mammal,Mammalia,Carnivora,Civettictis civetta,2021,Not Listed,Not Listed,S3,G5,Widespread,https://www.noaa.gov/sites/default/files/styles/landscape_width_1275/public/legacy/image/2019/Jun/PHOTO%20-%20seal%20rehabbed%20-%2004262016%20-%20marine%20mammals%20of%20maine%20-%20LANDSCAPE.jpg
African Clawed Frog,Africa,Amphibian,Amphibia,Anura,Xenopus laevis,2021,Not Listed,Not Listed,S4,G5,Widespread,https://cdn.mos.cms.futurecdn.net/39CUYMP8vJqHAYGVzUghBX-1200-80.jpg
African Elephant,Africa,Mammal,Mammalia,Proboscidea,Loxodonta africana,2021,Not Listed,Endangered,S2,G4,Widespread,https://www.noaa.gov/sites/default/files/styles/landscape_width_1275/public/legacy/image/2019/Jun/PHOTO%20-%20seal%20rehabbed%20-%2004262016%20-%20marine%20mammals%20of%20maine%20-%20LANDSCAPE.jpg
African Fish Eagle,Africa,Bird,Aves,Accipitriformes,Haliaeetus vocifer,2021,Not Listed,Not Listed,S3,G4,Widespread,https://live.staticflickr.com/65535/51980751292_38b3d98b76_b.jpg
African Forest Elephant,Africa,Mammal,Mammalia,Proboscidea,Loxodonta cyclotis,2021,Not Listed,Endangered,S1,G1,Limited Range,https://www.noaa.gov/sites/default/files/styles/landscape_width_1275/public/legacy/image/2019/Jun/PHOTO%20-%20seal%20rehabbed%20-%2004262016%20-%20marine%20mammals%20of%20maine%20-%20LANDSCAPE.jpg
African Golden Cat,Africa,Mammal,Mammalia,Carnivora,Caracal aurata,2021,Not Listed,Endangered,S2,G4,Limited Range,https://www.noaa.gov/sites/default/files/styles/landscape_width_1275/public/legacy/image/2019/Jun/PHOTO%20-%20seal%20rehabbed%20-%2004262016%20-%20marine%20mammals%20of%20maine%20-%20LANDSCAPE.jpg
African Grey Parrot,Africa,Bird,Aves,Psittaciformes,Psittacus erithacus,2021,Not Listed,Not Listed,S3,G4,Endangered,https://live.staticflickr.com/65535/51980751292_38b3d98b76_b.jpg
African Honey Bee,Africa,Insect,Insecta,Hymenoptera,Apis mellifera scutellata,2021,Not Listed,Not Listed,S4,G5,Widespread,https://kellogggarden.com/wp-content/uploads/2016/04/Ladybug.jpg
African Jacana,Africa,Bird,Aves,Gruiformes,Actophilornis africanus,2021,Not Listed,Not Listed,S4,G5,Widespread,https://live.staticflickr.com/65535/51980751292_38b3d98b76_b.jpg
African Lion,Africa,Mammal,Mammalia,Carnivora,Panthera leo,2021,Endangered,Vulnerable,S2,G4,Widespread,https://www.noaa.gov/sites/default/files/styles/landscape_width_1275/public/legacy/image/2019/Jun/PHOTO%20-%20seal%20rehabbed%20-%2004262016%20-%20marine%20mammals%20of%20maine%20-%20LANDSCAPE.jpg
African Palm Civet,Africa,Mammal,Mammalia,Carnivora,Nandinia binotata,2021,Not Listed,Not Listed,S3,G4,Widespread,https://www.noaa.gov/sites/default/files/styles/landscape_width_1275/public/legacy/image/2019/Jun/PHOTO%20-%20seal%20rehabbed%20-%2004262016%20-%20marine%20mammals%20of%20maine%20-%20LANDSCAPE.jpg
African Penguin,Africa,Bird,Aves,Sphenisciformes,Spheniscus demersus,2021,Not Listed,Endangered,S3,G4,Limited Range,https://live.staticflickr.com/65535/51980751292_38b3d98b76_b.jpg
African Pygmy Goose,Africa,Bird,Aves,Anatidae,Nettapus auritus,2021,Not Listed,Not Listed,S4,G5,Wetlands,https://live.staticflickr.com/65535/51980751292_38b3d98b76_b.jpg
African Pygmy Hedgehog,Africa,Mammal,Mammalia,Erinaceomorpha,Atelerix albiventris,2022,Not Listed,Not Listed,S4,G5,Limited Range,https://www.noaa.gov/sites/default/files/styles/landscape_width_1275/public/legacy/image/2019/Jun/PHOTO%20-%20seal%20rehabbed%20-%2004262016%20-%20marine%20mammals%20of%20maine%20-%20LANDSCAPE.jpg
African Rock Python,Africa,Reptile,Reptilia,Serpentes,Python sebae,2021,Not Listed,Not Listed,S3,G4,Forests and Grasslands,https://www.eurokidsindia.com/blog/wp-content/uploads/2023/10/fascinating-reptile-facts.jpg
African Spoonbill,Africa,Bird,Aves,Threskiornithidae,Platalea alba,2021,Not Listed,Not Listed,S4,G4,Wetlands,https://live.staticflickr.com/65535/51980751292_38b3d98b76_b.jpg
African Spurred Tortoise,Africa,Reptile,Reptilia,Testudines,Centrochelys sulcata,2022,Not Listed,Not Listed,S3,G4,Savannahs and Grasslands,https://www.eurokidsindia.com/blog/wp-content/uploads/2023/10/fascinating-reptile-facts.jpg
African Sugarcane Borer,Africa,Insect,Insecta,Lepidoptera,Eldana saccharina,2021,Not Listed,Not Listed,N/A,G5,Agricultural Areas,https://kellogggarden.com/wp-content/uploads/2016/04/Ladybug.jpg
African Tree Frog,Africa,Amphibian,Amphibia,Anura,Hyperolius spp.,2021,Not Listed,Not Listed,S4,G5,Tropical Forests,https://cdn.mos.cms.futurecdn.net/39CUYMP8vJqHAYGVzUghBX-1200-80.jpg
African Tree Toad,Africa,Amphibian,Amphibia,Anura,Amietophrynus spp.,2021,Not Listed,Not Listed,S3,G4,Forests and Grasslands,https://cdn.mos.cms.futurecdn.net/39CUYMP8vJqHAYGVzUghBX-1200-80.jpg
African Wild Ass,Africa,Mammal,Mammalia,Perissodactyla,Equus africanus asinus,2021,Endangered,Endangered,S1,G3,Deserts and Scrublands,https://www.noaa.gov/sites/default/files/styles/landscape_width_1275/public/legacy/image/2019/Jun/PHOTO%20-%20seal%20rehabbed%20-%2004262016%20-%20marine%20mammals%20of%20maine%20-%20LANDSCAPE.jpg
African Wild Dog,Africa,Mammal,Mammalia,Carnivora,Lycaon pictus,2021,Endangered,Endangered,S1,G3,Savannas,https://www.noaa.gov/sites/default/files/styles/landscape_width_1275/public/legacy/image/2019/Jun/PHOTO%20-%20seal%20rehabbed%20-%2004262016%20-%20marine%20mammals%20of%20maine%20-%20LANDSCAPE.jpg
African Yellow White-Eye,Africa,Bird,Aves,Zosteropidae,Zosterops senegalensis,2021,Not Listed,Not Listed,S4,G5,Tropical Forests,https://live.staticflickr.com/65535/51980751292_38b3d98b76_b.jpg
Africanized Bee,Americas,Insect,Insecta,Hymenoptera,Apis mellifera scutellata,2021,Not Listed,Not Listed,N/A,G5,Various Habitats,https://kellogggarden.com/wp-content/uploads/2016/04/Ladybug.jpg
Agama,"Africa, Asia",Reptile,Reptilia,Lacertilia,Agama spp.,2021,Not Listed,Not Listed,N/A,G5,Various Habitats,https://www.eurokidsindia.com/blog/wp-content/uploads/2023/10/fascinating-reptile-facts.jpg
Agama Lizard,"Africa, Asia",Reptile,Reptilia,Lacertilia,Agama spp.,2021,Not Listed,Not Listed,N/A,G5,Various Habitats,https://www.eurokidsindia.com/blog/wp-content/uploads/2023/10/fascinating-reptile-facts.jpg
Agouti,Central/South America,Mammal,Mammalia,Rodentia,Dasyprocta spp.,2021,Not Listed,Not Listed,S3,G5,Forests and Grasslands,https://www.noaa.gov/sites/default/files/styles/landscape_width_1275/public/legacy/image/2019/Jun/PHOTO%20-%20seal%20rehabbed%20-%2004262016%20-%20marine%20mammals%20of%20maine%20-%20LANDSCAPE.jpg
Aidi,Morocco,Mammal,Mammalia,Carnivora,Atlas Mountain Dog,2021,Not Listed,Not Listed,N/A,G5,Mountains,https://www.noaa.gov/sites/default/files/styles/landscape_width_1275/public/legacy/image/2019/Jun/PHOTO%20-%20seal%20rehabbed%20-%2004262016%20-%20marine%20mammals%20of%20maine%20-%20LANDSCAPE.jpg
Ainu,Japan,Mammal,Mammalia,Canidae,Canis familiaris,2021,Not Listed,Not Listed,N/A,G5,Domestic,https://www.noaa.gov/sites/default/files/styles/landscape_width_1275/public/legacy/image/2019/Jun/PHOTO%20-%20seal%20rehabbed%20-%2004262016%20-%20marine%20mammals%20of%20maine%20-%20LANDSCAPE.jpg
Ainu Dog,Japan,Mammal,Mammalia,Canidae,Canis familiaris Ainu,2021,Not Listed,Not Listed,N/A,G5,Domestic,https://www.noaa.gov/sites/default/files/styles/landscape_width_1275/public/legacy/image/2019/Jun/PHOTO%20-%20seal%20rehabbed%20-%2004262016%20-%20marine%20mammals%20of%20maine%20-%20LANDSCAPE.jpg
Airedale Terrier,UK,Mammal,Mammalia,Carnivora,Canis lupus familiaris,2022,Not Listed,Not Listed,N/A,G5,Domestic,https://www.noaa.gov/sites/default/files/styles/landscape_width_1275/public/legacy/image/2019/Jun/PHOTO%20-%20seal%20rehabbed%20-%2004262016%20-%20marine%20mammals%20of%20maine%20-%20LANDSCAPE.jpg
Airedoodle,USA,Mammal,Mammalia,Canidae,Canis lupus familiaris,2022,Not Listed,Not Listed,N/A,G5,Domestic,https://www.noaa.gov/sites/default/files/styles/landscape_width_1275/public/legacy/image/2019/Jun/PHOTO%20-%20seal%20rehabbed%20-%2004262016%20-%20marine%20mammals%20of%20maine%20-%20LANDSCAPE.jpg
Akbash,Turkey,Mammal,Mammalia,Canidae,Akbash Dog,2022,Not Listed,Not Listed,N/A,G5,Domestic,https://www.noaa.gov/sites/default/files/styles/landscape_width_1275/public/legacy/image/2019/Jun/PHOTO%20-%20seal%20rehabbed%20-%2004262016%20-%20marine%20mammals%20of%20maine%20-%20LANDSCAPE.jpg
Akbash Dog,Turkey,Mammal,Mammalia,Canidae,Canis lupus familiaris,2022,Not Listed,Not Listed,N/A,G5,Domestic,https://www.noaa.gov/sites/default/files/styles/landscape_width_1275/public/legacy/image/2019/Jun/PHOTO%20-%20seal%20rehabbed%20-%2004262016%20-%20marine%20mammals%20of%20maine%20-%20LANDSCAPE.jpg
Akita,Japan,Mammal,Mammalia,Canidae,Canis lupus familiaris,2022,Not Listed,Not Listed,N/A,G5,Domestic,https://www.noaa.gov/sites/default/files/styles/landscape_width_1275/public/legacy/image/2019/Jun/PHOTO%20-%20seal%20rehabbed%20-%2004262016%20-%20marine%20mammals%20of%20maine%20-%20LANDSCAPE.jpg
Akita Shepherd,USA,Mammal,Mammalia,Canidae,Canis lupus familiaris,2022,Not Listed,Not Listed,N/A,G5,Domestic,https://www.noaa.gov/sites/default/files/styles/landscape_width_1275/public/legacy/image/2019/Jun/PHOTO%20-%20seal%20rehabbed%20-%2004262016%20-%20marine%20mammals%20of%20maine%20-%20LANDSCAPE.jpg
Akule,Hawaii,Fish,Actinopterygii,Perciformes,Caranx heberi,2021,Not Listed,Not Listed,N/A,G5,Coastal Waters,https://www.thesprucepets.com/thmb/M22UH3-0kR74sgHT91kkUn4wKco=/3100x0/filters:no_upscale():strip_icc()/GettyImages-1413740339-5aea18fdc25b41039fa8dc91d687f527.jpg
Alabai,Central Asia,Mammal,Mammalia,Canidae,Alabai Dog,2022,Not Listed,Not Listed,N/A,G5,Domestic,https://www.noaa.gov/sites/default/files/styles/landscape_width_1275/public/legacy/image/2019/Jun/PHOTO%20-%20seal%20rehabbed%20-%2004262016%20-%20marine%20mammals%20of%20maine%20-%20LANDSCAPE.jpg
‘Alalā,Hawaii,Bird,Aves,Corvidae,Corvus hawaiiensis,2021,Endangered,Endangered,S1,G2,Endemic,https://live.staticflickr.com/65535/51980751292_38b3d98b76_b.jpg
Alaotra Grebe,Madagascar,Bird,Aves,Podicipedidae,Tachybaptus rufolavatus,2022,Endangered,Endangered,S1,G1,Endemic,https://live.staticflickr.com/65535/51980751292_38b3d98b76_b.jpg
Alaskan Husky,USA,Mammal,Mammalia,Canidae,Canis lupus familiaris,2022,Not Listed,Not Listed,N/A,G5,Domestic,https://www.noaa.gov/sites/default/files/styles/landscape_width_1275/public/legacy/image/2019/Jun/PHOTO%20-%20seal%20rehabbed%20-%2004262016%20-%20marine%20mammals%20of%20maine%20-%20LANDSCAPE.jpg
Alaskan Klee Kai,USA,Mammal,Mammalia,Canidae,Canis lupus familiaris,2022,Not Listed,Not Listed,N/A,G5,Domestic,https://www.noaa.gov/sites/default/files/styles/landscape_width_1275/public/legacy/image/2019/Jun/PHOTO%20-%20seal%20rehabbed%20-%2004262016%20-%20marine%20mammals%20of%20maine%20-%20LANDSCAPE.jpg
Alaskan Malamute,USA,Mammal,Mammalia,Canidae,Canis lupus familiaris,2022,Not Listed,Not Listed,N/A,G5,Domestic,https://www.noaa.gov/sites/default/files/styles/landscape_width_1275/public/legacy/image/2019/Jun/PHOTO%20-%20seal%20rehabbed%20-%2004262016%20-%20marine%20mammals%20of%20maine%20-%20LANDSCAPE.jpg
Alaskan Pollock,Alaska,Fish,Actinopterygii,Gadiformes,Gadus chalcogrammus,2021,Not Listed,Not Listed,N/A,G5,Cold Waters,https://www.thesprucepets.com/thmb/M22UH3-0kR74sgHT91kkUn4wKco=/3100x0/filters:no_upscale():strip_icc()/GettyImages-1413740339-5aea18fdc25b41039fa8dc91d687f527.jpg
Alaskan Shepherd,USA,Mammal,Mammalia,Canidae,Canis lupus familiaris,2022,Not Listed,Not Listed,N/A,G5,Domestic,https://www.noaa.gov/sites/default/files/styles/landscape_width_1275/public/legacy/image/2019/Jun/PHOTO%20-%20seal%20rehabbed%20-%2004262016%20-%20marine%20mammals%20of%20maine%20-%20LANDSCAPE.jpg
Albacore Tuna,Worldwide,Fish,Actinopterygii,Scombridae,Thunnus alalunga,2021,Not Listed,Not Listed,N/A,G5,Oceanic Waters,https://www.thesprucepets.com/thmb/M22UH3-0kR74sgHT91kkUn4wKco=/3100x0/filters:no_upscale():strip_icc()/GettyImages-1413740339-5aea18fdc25b41039fa8dc91d687f527.jpg
Albatross,Worldwide,Bird,Aves,Diomedeidae,Diomedea spp.,2021,Not Listed,Not Listed,N/A,G4,Open Ocean,https://live.staticflickr.com/65535/51980751292_38b3d98b76_b.jpg
Albertonectes,Prehistoric,Dinosaur,Reptilia,Archosauria,Albertonectes boneyi,N/A,Not Listed,Not Listed,N/A,G2 (extinct),Fossil,https://cf-img-a-in.tosshub.com/sites/visualstory/wp/2024/07/Dinosaur-3.jpeg?size=*:900
Albino Corn Snake,North America,Reptile,Reptilia,Serpentes,Pantherophis guttatus,2022,Not Listed,Not Listed,S3,G5,Domestic,https://www.eurokidsindia.com/blog/wp-content/uploads/2023/10/fascinating-reptile-facts.jpg
Albino Ferret,North America,Mammal,Mammalia,Carnivora,Mustela putorius furo,2022,Not Listed,Not Listed,S4,G5,Domestic,https://www.noaa.gov/sites/default/files/styles/landscape_width_1275/public/legacy/image/2019/Jun/PHOTO%20-%20seal%20rehabbed%20-%2004262016%20-%20marine%20mammals%20of%20maine%20-%20LANDSCAPE.jpg
Aldabra Giant Tortoise,"Aldabra Atoll, Seychelles",Reptile,Reptilia,Testudines,Aldabrachelys gigantea,2021,Not Listed,Vulnerable,S1,G3,Endemic,https://www.eurokidsindia.com/blog/wp-content/uploads/2023/10/fascinating-reptile-facts.jpg
Alder Flycatcher,North America,Bird,Aves,Passeriformes,Empidonax alnorum,2021,Not Listed,Not Listed,S3,G4,Migratory,https://live.staticflickr.com/65535/51980751292_38b3d98b76_b.jpg
Aleutian Tern,North America,Bird,Aves,Charadriiformes,Onychoprion aleuticus,2021,Not Listed,Not Listed,S2,G3,Migratory,https://live.staticflickr.com/65535/51980751292_38b3d98b76_b.jpg
Alewife,North America,Fish,Actinopterygii,Clupeiformes,Alosa pseudoharengus,2021,Not Listed,Not Listed,S3,G5,Coastal,https://www.thesprucepets.com/thmb/M22UH3-0kR74sgHT91kkUn4wKco=/3100x0/filters:no_upscale():strip_icc()/GettyImages-1413740339-5aea18fdc25b41039fa8dc91d687f527.jpg
Alfonsino,Atlantic Ocean,Fish,Actinopterygii,Opisthocomiformes,Beryx decadactylus,2021,Not Listed,Not Listed,S3,G4,Deep Sea,https://www.thesprucepets.com/thmb/M22UH3-0kR74sgHT91kkUn4wKco=/3100x0/filters:no_upscale():strip_icc()/GettyImages-1413740339-5aea18fdc25b41039fa8dc91d687f527.jpg
Allen’s Hummingbird,Central America,Bird,Aves,Apodiformes,Selasphorus sasin,2021,Not Listed,Not Listed,S4,G5,Migratory,https://live.staticflickr.com/65535/51980751292_38b3d98b76_b.jpg
Allen’s Swamp Monkey,Central Africa,Mammal,Mammalia,Primates,Allenopithecus nigroviridis,2022,Not Listed,Not Listed,S2,G2,Endemic,https://www.noaa.gov/sites/default/files/styles/landscape_width_1275/public/legacy/image/2019/Jun/PHOTO%20-%20seal%20rehabbed%20-%2004262016%20-%20marine%20mammals%20of%20maine%20-%20LANDSCAPE.jpg
Alligator,Americas,Reptile,Reptilia,Crocodylia,Alligator mississippiensis,2021,Not Listed,Not Listed,S3,G3,Endemic,https://www.eurokidsindia.com/blog/wp-content/uploads/2023/10/fascinating-reptile-facts.jpg
Alligator Gar,North America,Fish,Actinopterygii,Lepisosteiformes,Atractosteus spatula,2021,Not Listed,Not Listed,S4,G4,Freshwater,https://www.thesprucepets.com/thmb/M22UH3-0kR74sgHT91kkUn4wKco=/3100x0/filters:no_upscale():strip_icc()/GettyImages-1413740339-5aea18fdc25b41039fa8dc91d687f527.jpg
Alligator Snapping Turtle,North America,Reptile,Reptilia,Testudines,Macrochelys temminckii,2021,Endangered,Not Listed,S3,G3,Endangered,https://www.eurokidsindia.com/blog/wp-content/uploads/2023/10/fascinating-reptile-facts.jpg
Allis Shad,North America,Fish,Actinopterygii,Clupeiformes,Alosa alosa,2021,Not Listed,Not Listed,S3,G4,Limited Range,https://www.thesprucepets.com/thmb/M22UH3-0kR74sgHT91kkUn4wKco=/3100x0/filters:no_upscale():strip_icc()/GettyImages-1413740339-5aea18fdc25b41039fa8dc91d687f527.jpg
Allosaurus,Prehistoric,Dinosaur,Reptilia,Saurischia,Allosaurus fragilis,N/A,Not Listed,Not Listed,N/A,G2 (extinct),Fossil,https://cf-img-a-in.tosshub.com/sites/visualstory/wp/2024/07/Dinosaur-3.jpeg?size=*:901
Almaco Jack,North America,Fish,Actinopterygii,Perciformes,Seriola rivoliana,2021,Not Listed,Not Listed,S3,G5,Coastal,https://www.thesprucepets.com/thmb/M22UH3-0kR74sgHT91kkUn4wKco=/3100x0/filters:no_upscale():strip_icc()/GettyImages-1413740339-5aea18fdc25b41039fa8dc91d687f527.jpg
Alpaca,South America,Mammal,Mammalia,Artiodactyla,Vicugna pacos,2021,Not Listed,Not Listed,S5,G5,Domestic,https://www.noaa.gov/sites/default/files/styles/landscape_width_1275/public/legacy/image/2019/Jun/PHOTO%20-%20seal%20rehabbed%20-%2004262016%20-%20marine%20mammals%20of%20maine%20-%20LANDSCAPE.jpg
Alpheid Shrimp,Worldwide,Crustacean,Malacostraca,Decapoda,Alpheidae spp.,2021,Not Listed,Not Listed,S3,G4,Coastal,https://api.photon.aremedia.net.au/wp-content/uploads/sites/10/Gt/2022/09/12/20213/WEB_GT2201_Crustacean_GT-Seafood-Guide-031.jpg?fit=1200%2C1000
Alpine Dachsbracke,Europe,Mammal,Mammalia,Carnivora,Dachshund (various breeds),2021,Not Listed,Not Listed,S4,G5,Domestic,https://www.noaa.gov/sites/default/files/styles/landscape_width_1275/public/legacy/image/2019/Jun/PHOTO%20-%20seal%20rehabbed%20-%2004262016%20-%20marine%20mammals%20of%20maine%20-%20LANDSCAPE.jpg
Alpine Goat,Worldwide,Mammal,Mammalia,Artiodactyla,Capra aegagrus hircus,2021,Not Listed,Not Listed,S5,G5,Domestic,https://www.noaa.gov/sites/default/files/styles/landscape_width_1275/public/legacy/image/2019/Jun/PHOTO%20-%20seal%20rehabbed%20-%2004262016%20-%20marine%20mammals%20of%20maine%20-%20LANDSCAPE.jpg
Alpine Ibex,Europe,Mammal,Mammalia,Artiodactyla,Capra ibex,2021,Not Listed,Least Concern,S2,G4,Endemic,https://www.noaa.gov/sites/default/files/styles/landscape_width_1275/public/legacy/image/2019/Jun/PHOTO%20-%20seal%20rehabbed%20-%2004262016%20-%20marine%20mammals%20of%20maine%20-%20LANDSCAPE.jpg
Alpine Marmot,Europe,Mammal,Mammalia,Rodentia,Marmota marmota,2021,Not Listed,Least Concern,S2,G4,Endemic,https://www.noaa.gov/sites/default/files/styles/landscape_width_1275/public/legacy/image/2019/Jun/PHOTO%20-%20seal%20rehabbed%20-%2004262016%20-%20marine%20mammals%20of%20maine%20-%20LANDSCAPE.jpg
Alusky,North America,Mammal,Mammalia,Canidae,Alaskan Malamute/Siberian Husky mix,2021,Not Listed,Not Listed,S3,G5,Domestic,https://www.noaa.gov/sites/default/files/styles/landscape_width_1275/public/legacy/image/2019/Jun/PHOTO%20-%20seal%20rehabbed%20-%2004262016%20-%20marine%20mammals%20of%20maine%20-%20LANDSCAPE.jpg
Amano Shrimp,Asia,Crustacean,Malacostraca,Decapoda,Caridina multidentata,2021,Not Listed,Not Listed,S4,G5,Freshwater,https://api.photon.aremedia.net.au/wp-content/uploads/sites/10/Gt/2022/09/12/20213/WEB_GT2201_Crustacean_GT-Seafood-Guide-031.jpg?fit=1200%2C1001
Amargasaurus,Prehistoric,Dinosaur,Reptilia,Saurischia,Amargasaurus cazaui,N/A,Not Listed,Not Listed,N/A,G2 (extinct),Fossil,https://cf-img-a-in.tosshub.com/sites/visualstory/wp/2024/07/Dinosaur-3.jpeg?size=*:902
Amazon Kingfisher,South America,Bird,Aves,Coraciiformes,Chloroceryle amazona,2021,Not Listed,Not Listed,S3,G4,Endemic,https://live.staticflickr.com/65535/51980751292_38b3d98b76_b.jpg
